Designator,Footprint,Quantity,Value,LCSC Part #
"C401, C402",0402,2,10n,
C403,0402,1,100n,
"D501, D502, D503, D504, D505, D506, D507, D508, D509, D510, D511, D512, D513, D514, D515, D516, D517, D518, D519, D520, D521, D522, D523, D524, D525, D526, D527, D528, D529, D530",YF923_2020_WS2812_LED_DUALSIDE,30,YF923_2020_WS2812_LED,
"J201, J202",PSoM_ESP32S2_00,2,PSoM_ESP32S2_Carrier_Board,
J301,USB4510031A,1,USB4510-03-1-A,
J302,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J303,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal_DUALSIDE,1,S2B-PH-SM4-TB,
"J304, J305",GCT_FFC2B28-12-G,2,FFC2B28-12-G,
"R201, R202",0402,2,R,
"R303, R304",0402,2,5.1k,
"R305, R306",0402,2,0,
"R401, R402, R403, R404",0201,4,10k,
"RN401, RN402, RN403, RN404",EXB2HV_1,4,EXB-2HV103JV,
SW301,450405020524_DUALSIDE,1,450405020524,
"SW401, SW402, SW403, SW404, SW405, SW406, SW407, SW408, SW409, SW410, SW411, SW412, SW413, SW414, SW415, SW416, SW417, SW418, SW419, SW420, SW421, SW422, SW423, SW424, SW425, SW426, SW427, SW428, SW429",Kailh_socket_PG1350_reversible_V1V2,29,SW_Push,
SW430,RIC11-22S10D5S-TH,1,RIC11-22S10D5S-TH,
"TH201, TH202",0402,2,Thermistor_NTC,
TP201,TestPoint_Pad_D1.5mm,1,3V3,
TP202,TestPoint_Pad_D1.5mm,1,PL,
TP203,TestPoint_Pad_D1.5mm,1,SR_CE,
TP204,TestPoint_Pad_D1.5mm,1,SPI_CLK,
TP205,TestPoint_Pad_D1.5mm,1,MISO,
TP206,TestPoint_Pad_D1.5mm,1,RX,
TP207,TestPoint_Pad_D1.5mm,1,TX,
TP208,TestPoint_Pad_D1.5mm,1,GND,
"U401, U402, U403, U404",SOP65P640X120-16N,4,SN74HC165PWR,
U405,SOP95P280X145-6N,1,SN74LVC2G04DBVRG4,
